city,total,male,male_no_schooling_completed,male_nursery_to_4th_grade,male_5th_and_6th_grade,male_7th_and_8th_grade,male_9th_grade,male_10th_grade,male_11th_grade,male_12th_grade_no_diploma,male_high_school_graduate_(includes_equivalency),male_some_college_less_than_1_year,male_some_college_1_or_more_years_no_degree,male_associates_degree,male_bachelors_degree,male_masters_degree,male_professional_school_degree,male_doctorate_degree,female,female_no_schooling_completed,female_nursery_to_4th_grade,female_5th_and_6th_grade,female_7th_and_8th_grade,female_9th_grade,female_10th_grade,female_11th_grade,female_12th_grade_no_diploma,female_high_school_graduate_(includes_equivalency),female_some_college_less_than_1_year,female_some_college_1_or_more_years_no_degree,female_associates_degree,female_bachelors_degree,female_masters_degree,female_professional_school_degree,female_doctorate_degree
Seis Lagos,728,372,0,0,0,0,0,7,0,0,19,29,22,22,208,57,5,3,356,0,0,0,0,0,0,0,0,23,14,61,26,193,29,10,0
Trenton,459,222,0,0,0,0,0,19,12,3,101,14,48,13,4,7,0,1,237,3,0,0,8,4,14,2,1,75,31,30,26,33,8,0,2
Van Alstyne,3515,1445,0,0,0,59,38,0,0,0,271,90,294,107,493,44,30,19,2070,0,0,42,0,0,0,19,20,489,227,366,243,508,156,0,0
Westminster,701,331,0,0,20,0,12,0,0,0,179,34,39,9,23,15,0,0,370,0,0,102,0,15,0,0,0,146,0,4,8,66,17,12,0
Weston,165,80,0,0,0,5,0,0,0,6,24,13,13,3,10,6,0,0,85,0,0,2,1,0,0,0,6,23,9,19,5,17,3,0,0
Wylie,36149,17578,467,96,128,16,322,27,174,354,3191,1268,3211,1275,4992,1689,175,193,18571,704,133,109,98,142,132,171,341,3482,1218,2789,1611,4937,2463,155,86
Addison,13755,6869,110,0,0,13,166,16,0,12,896,277,972,389,2762,1059,118,79,6886,28,0,0,47,46,0,7,20,635,391,817,460,2310,1394,363,368
Balch Springs,16865,8314,279,268,730,171,648,85,256,258,2838,480,663,912,557,83,66,20,8551,210,60,283,194,672,272,148,395,2619,453,863,1180,813,361,28,0
Bear Creek Ranch,1330,579,76,0,0,0,0,0,0,0,64,0,105,133,141,60,0,0,751,71,0,0,0,92,0,0,0,64,14,115,266,41,88,0,0
Cedar Hill,30845,13659,240,50,402,76,154,99,194,304,3769,1192,2934,812,2458,792,75,108,17186,339,41,167,0,240,127,342,178,3393,1760,2839,1650,3406,2161,229,314
Cockrell Hill,2374,1079,158,37,35,34,0,0,38,36,391,108,97,44,91,10,0,0,1295,55,49,78,51,23,131,57,18,336,112,113,101,139,32,0,0
Combine,1801,909,33,6,80,30,36,11,36,26,299,93,86,13,125,25,4,6,892,34,20,0,0,20,0,68,41,247,80,95,58,145,81,0,3
Coppell,28303,14005,98,15,99,0,7,20,0,129,1301,449,1385,706,5378,3220,746,452,14298,107,45,26,129,16,35,23,117,1632,649,1255,775,5073,3181,803,432
DeSoto,39473,17170,75,167,236,119,355,440,122,641,4783,1542,2903,1447,2613,1282,234,211,22303,124,17,239,26,503,115,163,253,4830,2347,4600,1638,3787,2748,635,278
Duncanville,25478,11649,521,64,239,134,683,208,205,460,3502,765,1729,801,1394,773,83,88,13829,460,94,338,143,403,53,394,233,3797,1143,1776,1294,2439,1153,97,12
Farmers Branch,25312,12086,535,208,180,255,154,83,311,243,1976,426,1158,567,3884,1698,150,258,13226,499,117,225,274,315,66,115,227,1970,612,1747,845,4002,1689,250,273
Ferris,1669,750,87,0,16,7,10,20,0,12,292,90,133,0,74,0,9,0,919,82,0,0,19,13,0,22,5,210,77,239,42,148,62,0,0
Glenn Heights,10878,5381,311,28,45,110,21,30,126,84,1852,232,749,418,705,569,0,101,5497,408,0,155,0,0,119,129,91,1439,263,920,571,742,583,44,33
Grand Prairie,124382,59288,2449,742,2557,1005,1602,922,997,1619,15863,3545,7602,4462,11150,3379,852,542,65094,2265,712,1492,1467,1740,933,1009,1231,15427,4385,8253,5964,13486,5455,437,838
Grapevine,36049,18036,134,0,277,156,190,32,216,128,2695,314,2438,1144,6833,2480,686,313,18013,109,43,190,41,74,82,35,106,3050,868,2148,840,6280,3212,633,302
Highland Park,5885,2836,0,0,18,0,0,0,0,0,50,129,70,4,902,831,697,135,3049,5,0,0,11,0,0,0,0,80,62,161,98,1694,683,214,41
Hutchins,3441,2098,92,58,83,25,151,105,158,17,771,134,307,103,57,37,0,0,1343,28,0,41,0,114,12,51,28,580,64,244,66,72,31,0,12
Irving,164744,82412,2578,2096,3152,2430,3151,1212,785,1538,15110,3039,8092,4221,20521,11906,1701,880,82332,2394,1496,3284,1859,2028,1650,988,1536,15756,3540,8738,5589,20366,10562,1696,850
Lancaster,25848,10642,265,115,131,47,328,158,169,377,3240,1018,1678,1190,1482,387,57,0,15206,345,107,142,71,268,135,137,432,4078,902,2637,1246,2692,1606,76,332
Lewisville,86991,41962,1328,236,461,456,363,704,500,816,8284,3546,5639,3340,10627,4377,837,448,45029,1332,247,269,326,483,377,272,775,9550,3815,5948,3625,12199,4971,599,241
Mesquite,93029,43353,1447,550,1448,736,1792,892,550,1935,14058,3366,6163,3282,4759,1618,148,609,49676,1445,600,1254,775,1035,842,745,1701,14301,4562,8266,4064,6889,2680,175,342
Ovilla,2941,1323,0,0,0,0,0,23,14,20,289,86,172,138,472,27,69,13,1618,12,0,21,0,0,0,0,50,289,57,205,187,495,259,20,23
Rowlett,43114,21380,147,35,49,265,64,89,254,641,4770,2004,2807,2191,5829,1735,246,254,21734,240,162,124,77,45,53,44,452,4874,2328,3031,1884,5841,1999,325,255
Seagoville,12218,7140,329,130,337,178,421,145,331,216,2642,545,978,487,322,63,0,16,5078,324,7,81,46,123,163,223,57,1335,717,834,206,612,315,35,0
Sunnyvale,5284,2491,29,0,0,6,0,0,26,19,313,70,301,164,875,526,68,94,2793,19,0,0,0,38,12,0,19,622,236,234,217,772,475,132,17
University Park,13294,6387,12,67,0,0,0,0,9,0,95,48,196,105,2356,1763,1368,368,6907,11,0,0,8,0,0,0,0,226,26,346,125,3667,1312,939,247
Wilmer,3891,1488,123,96,72,0,172,34,45,46,600,51,47,152,29,0,0,21,2403,29,39,170,13,347,0,78,66,547,117,444,232,250,71,0,0
Argyle,3598,1787,0,0,0,10,0,14,58,21,323,23,251,14,705,326,30,12,1811,0,29,0,0,0,0,0,28,181,55,202,100,861,296,24,35
Aubrey,4450,2063,0,0,0,19,0,0,0,26,492,89,573,98,548,120,98,0,2387,47,17,0,10,28,12,0,0,695,139,512,92,641,136,0,58
Bartonville,1372,679,21,0,40,10,0,0,0,1,84,24,91,9,271,95,31,2,693,20,0,0,0,0,4,0,4,131,50,66,64,236,97,7,14
Copper Canyon,1765,891,0,0,5,0,0,0,0,0,91,102,43,51,414,136,49,0,874,0,0,0,4,0,5,0,13,211,36,104,107,264,99,24,7
Corinth,15616,7918,66,300,34,54,27,11,48,34,1165,451,1494,685,2348,910,159,132,7698,30,60,19,13,80,9,61,43,1514,679,1107,829,2055,936,150,113
Cross Roads,1506,821,4,0,0,3,0,2,19,5,111,34,145,200,195,84,13,6,685,0,0,0,11,0,11,7,7,94,45,126,46,216,78,14,30
Denton,90285,44718,934,122,458,274,540,381,434,659,8596,3121,7139,3302,11685,5178,672,1223,45567,734,133,271,364,581,363,411,366,9704,3904,6399,3283,11654,5717,403,1280
DISH,435,225,0,0,0,3,2,0,0,3,43,35,55,20,57,7,0,0,210,0,0,0,0,0,0,0,4,34,30,34,28,57,20,3,0
Double Oak,2228,1076,0,0,0,0,0,0,4,0,172,96,127,121,417,120,14,5,1152,2,0,28,0,0,2,22,6,129,39,133,161,388,206,36,0
Flower Mound,52885,26011,221,9,75,78,39,107,32,160,2638,1108,2649,1387,11088,4753,892,775,26874,273,0,0,12,40,46,31,222,3154,1596,3121,1863,11442,3951,738,385
Fort Worth,599411,289459,8493,2689,7082,6058,7513,5310,5210,7138,73620,17038,39381,20720,58354,22177,5302,3374,309952,7806,2689,6391,4750,6320,5767,4971,6058,74344,19861,46522,23854,65120,28209,4023,3267
Hackberry,1874,876,15,18,13,0,22,0,23,5,180,93,63,47,216,123,31,27,998,11,0,0,0,38,0,0,7,184,27,139,94,313,162,11,12
Haslet,1932,922,11,0,0,6,12,0,0,2,225,109,116,96,205,126,4,10,1010,2,0,0,0,0,14,2,0,189,108,173,81,244,174,12,11
Hickory Creek,3511,1914,0,0,0,0,57,0,0,0,162,233,208,99,965,127,33,30,1597,31,0,44,25,0,30,0,57,231,85,361,121,447,155,10,0
Highland Village,10914,5477,32,8,0,0,16,17,0,46,600,364,897,450,2154,662,114,117,5437,24,0,0,11,0,47,28,19,599,312,971,461,2096,730,75,64
Justin,3500,1736,0,0,0,0,0,8,0,29,429,165,346,235,374,128,0,22,1764,0,0,0,8,15,0,0,0,393,372,110,130,570,116,7,43
Krugerville,1478,749,17,0,0,0,2,0,4,3,153,59,82,138,158,109,13,11,729,15,0,0,0,0,0,3,2,179,48,159,49,229,37,4,4
Krum,3980,1864,0,0,0,0,39,0,26,26,319,298,508,131,402,102,0,13,2116,1,0,0,0,0,16,17,17,472,142,415,84,745,200,7,0
Lake Dallas,5396,2596,79,0,129,24,455,7,0,56,505,232,219,223,572,79,16,0,2800,87,12,34,25,121,11,8,11,792,177,423,133,546,349,17,54
Lakewood Village,582,316,0,0,0,0,0,9,0,0,71,29,67,17,87,30,0,6,266,0,4,0,0,0,0,0,0,43,47,58,19,51,34,6,4
Lantana,7757,3562,15,0,0,0,13,0,0,0,171,71,205,306,1875,779,34,93,4195,15,0,0,0,0,0,0,93,475,221,315,210,2037,746,20,63
Little Elm,32680,16159,91,75,20,20,225,86,331,240,3619,1043,1900,1651,4708,2003,147,0,16521,265,15,147,105,268,76,143,581,3603,810,2276,1812,3795,2412,183,30
New Fairview,864,432,0,0,0,27,0,8,0,4,231,36,67,21,31,6,1,0,432,9,0,0,4,6,17,13,9,141,43,95,38,48,9,0,0
Northlake,4193,1843,0,0,0,0,0,0,0,0,382,207,156,210,614,245,29,0,2350,0,0,0,0,0,0,0,0,473,218,210,281,564,576,20,8
Oak Point,3609,1621,0,0,0,0,0,0,62,0,182,345,144,152,494,175,67,0,1988,0,0,0,0,62,0,0,0,246,118,497,183,649,186,44,3
Paloma Creek,2017,914,0,0,0,0,0,0,0,26,184,71,149,113,337,20,14,0,1103,0,0,0,0,7,0,0,0,204,122,330,52,294,94,0,0
Paloma Creek South,5735,2797,0,0,0,0,0,14,0,63,575,35,416,542,894,247,11,0,2938,0,0,0,0,0,0,0,21,408,137,487,368,1032,422,63,0
Pilot Point,3344,1602,13,0,10,0,195,49,119,53,319,101,303,60,251,57,48,24,1742,16,0,0,5,124,87,9,0,360,134,375,105,497,30,0,0
Ponder,1549,690,4,0,0,4,2,3,11,12,132,50,162,89,188,33,0,0,859,0,0,5,0,3,4,10,2,194,36,129,117,219,133,0,7
Providence Village,5097,2260,0,0,0,0,9,0,38,144,355,171,298,251,563,353,38,40,2837,31,16,68,0,0,0,18,74,302,109,444,466,739,516,45,9
Roanoke,6710,3315,15,0,28,0,0,208,63,0,519,154,496,159,1116,533,0,24,3395,13,0,22,171,15,42,19,43,523,394,278,361,1054,387,0,73
Sanger,6079,2977,90,0,17,0,11,62,0,88,1057,229,649,204,375,178,17,0,3102,15,30,51,94,17,13,0,57,904,270,486,239,528,351,35,12
Savannah,4357,1983,13,0,0,0,0,25,0,13,457,90,362,120,645,242,16,0,2374,0,0,0,0,32,0,0,46,680,194,410,66,731,215,0,0
Shady Shores,2104,1057,41,0,0,0,0,5,0,8,148,55,197,116,338,136,6,7,1047,5,0,0,0,0,23,6,10,216,77,138,71,331,144,21,5
Southlake,19583,9427,0,0,9,0,13,0,0,22,561,191,757,270,4045,2449,646,464,10156,10,0,16,26,0,43,0,119,882,366,886,793,4071,2027,612,305
The Colony,33299,16726,133,60,29,66,74,106,102,148,3017,1226,1851,1825,5868,1712,331,178,16573,209,9,56,27,12,100,230,376,2843,1083,2209,1638,5431,1856,357,137
Trophy Club,9045,4433,0,169,0,3,0,0,0,15,195,136,704,130,1925,975,104,77,4612,37,0,0,28,0,0,7,14,353,331,554,179,2244,687,60,118
Westlake,1040,526,19,0,0,0,0,6,0,10,11,17,59,7,195,132,53,17,514,0,0,0,0,0,0,0,8,50,18,27,18,285,55,53,0
Arlington,250729,121339,3898,963,2498,1840,2799,1361,1926,3058,28750,8453,16904,9684,26316,9286,2160,1443,129390,4048,936,2117,1256,2448,1576,1612,2815,29795,9533,18432,11133,28312,12822,1200,1355
Azle,9551,4636,90,48,11,40,17,87,112,118,1655,168,668,509,826,287,0,0,4915,59,0,0,37,20,112,70,103,1626,331,837,689,812,195,24,0
Bedford,34738,16576,154,22,2,53,116,90,111,225,3207,1685,2720,1577,4431,1537,269,377,18162,172,60,155,290,37,83,305,231,3413,1479,2941,1415,5362,1927,216,76
Benbrook,16798,7910,56,1,171,3,22,78,44,129,1377,487,1396,569,2269,926,247,135,8888,44,16,148,0,31,22,68,94,1922,748,1417,504,2419,1141,233,81
Blue Mound,1545,767,10,23,12,19,71,67,10,30,296,53,83,32,58,3,0,0,778,11,8,39,33,61,26,1,16,312,48,94,61,36,28,4,0
Briar,4396,1932,54,0,24,45,33,8,14,0,677,305,367,58,267,69,0,11,2464,76,0,14,0,32,3,19,21,994,240,515,117,236,185,12,0
Burleson,32248,15026,114,0,18,72,141,189,72,375,4030,1415,2667,1607,3102,987,75,162,17222,239,197,49,63,46,74,88,213,5159,1087,2880,1514,4350,1127,90,46
Colleyville,18225,8945,0,21,0,0,0,0,0,0,456,317,942,528,4194,1845,582,60,9280,79,0,0,1,2,22,34,24,658,760,999,566,3622,1623,623,267
Crowley,11995,5563,44,16,0,63,11,270,112,88,1707,225,1191,485,975,306,70,0,6432,33,21,48,4,37,71,111,119,1932,392,1093,715,1140,619,53,44
Dalworthington Gardens,1541,751,4,0,0,0,0,14,0,6,83,93,141,22,277,50,55,6,790,13,0,0,0,0,6,0,13,113,53,170,26,235,126,20,15
Edgecliff Village,2584,1379,11,0,28,23,122,14,0,59,431,38,194,95,250,92,3,19,1205,11,0,44,0,0,0,8,66,320,105,229,130,155,89,5,43
Euless,40708,19569,285,13,281,109,196,93,81,466,4368,847,3713,1850,4749,2062,305,151,21139,452,49,167,182,231,215,400,394,3884,978,3362,2039,5905,2402,196,283
Everman,3894,2072,126,25,65,0,41,34,158,12,764,86,312,87,194,97,71,0,1822,71,7,27,28,30,21,23,76,705,158,387,136,107,46,0,0
