city,total,less_than_10000,10000_to_14999,15000_to_19999,20000_to_24999,25000_to_29999,30000_to_34999,35000_to_39999,40000_to_49999,50000_to_59999,60000_to_69999,70000_to_79999,80000_to_89999,90000_to_99999,100000_to_124999,125000_to_149999,150000_to_174999,175000_to_199999,200000_to_249999,250000_to_299999,300000_to_399999,400000_to_499999,500000_to_749999,750000_to_999999,1000000_to_1499999,1500000_to_1999999,2000000_or_more
Westminster,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,23,0,80,35,72,7,0,0,0
Weston,62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,1,26,8,14,6,0,0,0
Wylie,14009,176,63,79,34,150,7,26,102,120,25,29,57,0,154,44,80,263,1371,2173,4091,2519,2047,185,184,2,28
Addison,1801,0,0,0,0,0,0,7,0,0,0,0,0,0,16,0,0,28,71,35,327,631,602,44,13,7,20
Balch Springs,5410,194,94,35,0,66,0,21,32,12,5,180,157,135,324,243,326,595,1749,604,485,41,35,12,46,0,19
Bear Creek Ranch,697,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,114,328,157,0,0,0,0,0,0
Cedar Hill,11368,173,28,30,11,7,0,0,4,42,5,43,16,35,275,157,506,695,2641,2188,2350,722,857,295,210,31,47
Cockrell Hill,763,18,0,0,0,9,0,0,0,0,0,0,33,12,90,37,187,0,217,29,86,25,9,0,0,11,0
Combine,758,32,0,4,0,46,0,0,14,8,0,9,5,15,54,8,38,86,40,57,63,145,111,20,0,3,0
Coppell,10727,131,0,0,15,34,0,0,13,0,8,0,45,11,25,37,0,87,141,264,1578,2575,3942,1365,337,66,53
DeSoto,14787,99,31,23,59,93,80,79,59,101,46,95,87,260,252,235,405,1073,2390,2956,3422,2076,786,80,0,0,0
Duncanville,8742,43,9,6,63,6,89,26,35,15,59,7,67,48,296,393,624,955,2081,1346,1666,556,299,43,10,0,0
Farmers Branch,6880,53,0,0,47,12,29,24,0,0,18,9,9,0,103,82,372,553,895,934,1365,770,1043,372,112,59,19
Ferris,638,0,12,0,0,0,14,9,13,6,7,10,26,0,82,19,75,26,51,77,187,0,24,0,0,0,0
Glenn Heights,4520,321,279,56,111,0,0,17,30,0,0,11,0,28,36,138,154,419,627,764,1172,283,0,0,0,48,26
Grand Prairie,38764,487,124,197,448,152,164,168,179,292,80,189,265,375,1855,1067,1964,2498,5909,6685,8404,4202,2671,223,15,36,115
Grapevine,11162,156,15,0,35,65,23,40,74,75,57,0,0,18,77,13,60,17,575,426,1907,2766,3701,823,178,61,0
Highland Park,2845,29,8,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,32,11,57,120,60,164,571,471,1313
Hutchins,708,134,43,0,1,95,15,0,0,0,7,13,34,22,54,16,15,58,9,80,100,0,12,0,0,0,0
Irving,36104,346,211,86,196,150,123,18,249,211,48,143,377,233,1306,991,1633,2567,5773,4543,6372,3557,4669,1634,407,78,183
Lancaster,9619,91,98,124,6,0,0,18,9,235,44,56,61,115,416,309,499,1459,2125,2136,1608,100,69,18,4,19,0
Lewisville,23344,306,132,149,208,46,270,222,134,56,25,49,58,46,221,277,442,426,2028,2881,7369,3455,3540,678,196,43,87
Mesquite,31854,295,21,84,237,183,44,50,52,197,119,186,235,267,1256,1750,2331,4141,8453,5832,4869,783,221,182,13,33,20
Ovilla,1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,33,0,174,188,290,274,389,0,0,0,10
Rowlett,16463,88,8,0,40,111,28,77,142,14,53,17,5,0,113,95,239,506,1631,2823,5292,2837,1824,287,78,0,155
Seagoville,4473,198,9,41,57,0,0,0,21,37,0,43,140,97,258,188,174,591,898,807,800,40,65,0,0,9,0
Sunnyvale,2205,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,13,53,428,354,930,174,139,10,0
University Park,6097,9,10,0,0,0,0,0,7,0,0,0,0,0,12,0,46,0,6,16,89,83,234,360,1575,1294,2356
Wilmer,1248,148,0,0,20,32,0,9,54,122,0,183,30,0,58,139,60,180,65,105,43,0,0,0,0,0,0
Argyle,1514,15,0,0,12,0,0,0,0,25,0,0,0,0,14,0,0,21,0,0,121,229,644,209,53,53,118
Aubrey,1926,0,0,0,5,0,0,0,0,0,0,0,0,17,0,18,65,88,261,156,908,260,43,105,0,0,0
Bartonville,628,2,0,0,0,0,0,0,0,4,0,13,0,15,14,0,18,3,9,12,31,53,111,73,144,46,80
Copper Canyon,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,26,41,411,121,109,17,74
Corinth,6113,59,0,0,0,0,22,0,38,0,0,0,42,45,44,70,63,247,527,914,1923,1219,817,25,46,0,12
Cross Roads,721,6,0,0,0,0,0,0,0,0,0,3,0,0,5,0,15,8,3,48,178,53,240,86,37,22,17
Denton,26544,525,386,108,178,161,237,50,146,29,52,56,62,65,303,318,477,549,3623,3932,7832,3459,2990,518,367,32,89
DISH,207,3,0,0,0,0,0,0,3,0,2,1,1,0,0,0,4,1,3,4,32,91,57,2,3,0,0
Double Oak,974,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,15,108,542,152,72,14,37
Flower Mound,22899,310,187,0,0,0,0,13,174,8,0,0,0,23,73,58,97,92,508,960,4177,4312,8126,2101,1310,103,267
Fort Worth,189660,1520,637,803,718,1234,271,449,1490,1418,1154,1765,2193,2497,8350,5896,8646,11201,27455,31411,39885,19955,13681,3260,2330,463,978
Hackberry,728,6,0,0,0,0,0,0,0,6,2,18,14,0,4,0,0,5,14,84,244,278,53,0,0,0,0
Haslet,852,6,0,0,3,0,0,0,6,2,4,0,0,0,4,5,0,8,10,65,71,164,344,130,10,0,20
Hickory Creek,1391,0,0,0,0,0,29,0,0,0,0,0,0,0,17,0,0,44,65,67,238,209,653,56,13,0,0
Highland Village,4975,27,0,0,0,0,0,23,45,22,4,0,0,0,11,0,25,21,52,123,1025,1188,1760,473,165,0,11
Justin,1546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,70,63,201,527,357,229,0,0,0,0
Krugerville,731,9,0,2,0,0,0,0,0,0,0,0,0,0,3,0,4,0,95,72,236,124,181,5,0,0,0
Krum,1514,16,0,0,0,0,0,0,0,0,11,0,0,10,0,0,0,73,407,331,465,32,116,17,36,0,0
Lake Dallas,2101,168,14,0,0,6,10,25,5,0,0,0,0,0,134,6,24,58,666,385,388,165,14,9,24,0,0
Lakewood Village,281,0,0,0,0,0,0,0,0,0,0,2,0,0,2,10,9,0,23,6,64,26,70,37,29,3,0
Lantana,3655,131,0,0,0,0,20,0,0,0,0,0,0,0,65,0,0,0,22,31,564,747,1467,520,71,17,0
Little Elm,12029,157,42,0,129,33,64,119,9,28,34,140,70,0,45,58,21,37,562,1429,3364,3546,1829,270,22,21,0
New Fairview,371,0,6,0,0,0,31,0,4,0,8,4,0,34,30,6,28,15,24,45,38,51,39,0,0,0,8
Northlake,1377,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,523,409,140,49,0,0
Oak Point,1754,0,0,0,0,0,42,0,0,10,0,0,0,0,0,0,0,0,254,189,562,267,402,18,10,0,0
Paloma Creek,888,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,98,261,352,72,34,16,0,0,0
Paloma Creek South,2366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,799,876,464,218,0,0,0,0
Pilot Point,1423,81,0,0,0,0,0,0,0,0,0,0,0,14,7,0,17,296,183,310,304,171,6,34,0,0,0
Ponder,643,0,0,0,0,0,3,0,5,0,0,0,0,4,7,36,2,11,130,167,216,50,10,2,0,0,0
Providence Village,1963,31,0,0,0,0,8,0,0,0,0,0,21,0,0,28,42,10,216,452,815,313,27,0,0,0,0
